chr:start:end,chr,start,end
7:72402623:72404678,7,72402623,72404678
20:31483536:31484395,20,31483536,31484395
6:15594998:15597019,6,15594998,15597019
17:7350530:7351133,17,7350530,7351133
19:17861296:17861919,19,17861296,17861919
10:45462782:45463744,10,45462782,45463744
5:42943966:42944533,5,42943966,42944533
19:888438:888962,19,888438,888962
7:50559312:50560550,7,50559312,50560550
17:44325962:44326391,17,44325962,44326391
14:93205535:93206303,14,93205535,93206303
16:12075484:12076818,16,12075484,12076818
7:150413019:150413713,7,150413019,150413713
1:30759768:30760656,1,30759768,30760656
12:7439781:7440106,12,7439781,7440106
11:60972408:60974912,11,60972408,60974912
17:82882539:82883233,17,82882539,82883233
12:49265877:49266500,12,49265877,49266500
7:4715078:4715800,7,4715078,4715800
3:128759286:128760300,3,128759286,128760300
6:139338048:139339621,6,139338048,139339621
2:1133347:1134500,2,1133347,1134500
19:32642462:32643475,19,32642462,32643475
20:44075172:44076156,20,44075172,44076156
19:43371854:43372760,19,43371854,43372760
8:143461533:143463076,8,143461533,143463076
7:75105607:75106327,7,75105607,75106327
6:35691132:35692442,6,35691132,35692442
19:37334329:37335116,19,37334329,37335116
14:65156537:65157541,14,65156537,65157541
8:129987720:129988375,8,129987720,129988375
10:32174013:32175584,10,32174013,32175584
12:98517627:98518433,12,98517627,98518433
1:10670985:10671481,1,10670985,10671481
12:12071936:12072594,12,12071936,12072594
10:75161929:75162580,10,75161929,75162580
17:60102151:60103057,17,60102151,60103057
1:227936772:227937743,1,227936772,227937743
7:98399208:98400050,7,98399208,98400050
1:44776602:44777473,1,44776602,44777473
17:21419125:21419956,17,21419125,21419956
19:611091:611702,19,611091,611702
6:24776023:24776674,6,24776023,24776674
7:150388532:150389562,7,150388532,150389562
18:10790687:10791669,18,10790687,10791669
2:197590194:197591074,2,197590194,197591074
1:26318410:26319590,1,26318410,26319590
21:45430660:45431131,21,45430660,45431131
17:75292606:75293749,17,75292606,75293749
4:1684726:1685015,4,1684726,1685015
22:32917911:32919213,22,32917911,32919213
20:53725259:53725858,20,53725259,53725858
6:149718839:149719138,6,149718839,149719138
18:63099310:63100788,18,63099310,63100788
19:3705167:3706119,19,3705167,3706119
14:91361036:91362262,14,91361036,91362262
22:37739436:37740496,22,37739436,37740496
2:9738687:9739814,2,9738687,9739814
6:163251958:163252673,6,163251958,163252673
6:150310694:150312351,6,150310694,150312351
19:5140506:5140988,19,5140506,5140988
5:36685258:36686704,5,36685258,36686704
18:14747369:14747730,18,14747369,14747730
19:2257794:2258588,19,2257794,2258588
17:4717898:4718145,17,4717898,4718145
12:96077881:96078976,12,96077881,96078976
16:85781899:85783017,16,85781899,85783017
22:49481495:49482234,22,49481495,49482234
12:124633729:124634555,12,124633729,124634555
8:11861945:11863331,8,11861945,11863331
13:112885875:112886317,13,112885875,112886317
18:8730041:8730895,18,8730041,8730895
11:134057829:134058905,11,134057829,134058905
1:2132246:2132777,1,2132246,2132777
7:1012127:1012611,7,1012127,1012611
9:136917582:136918111,9,136917582,136918111
13:24251174:24252234,13,24251174,24252234
20:33724221:33725125,20,33724221,33725125
13:109739079:109740669,13,109739079,109740669
22:35301083:35301697,22,35301083,35301697
13:59440800:59441723,13,59440800,59441723
1:54153131:54154286,1,54153131,54154286
3:13418267:13419131,3,13418267,13419131
10:104339492:104340671,10,104339492,104340671
1:154455988:154457151,1,154455988,154457151
2:96143435:96144530,2,96143435,96144530
19:4859875:4860616,19,4859875,4860616
16:85982844:85983954,16,85982844,85983954
6:52306935:52307356,6,52306935,52307356
17:42366392:42367529,17,42366392,42367529
20:760713:761293,20,760713,761293
8:43277129:43277469,8,43277129,43277469
12:68784011:68784657,12,68784011,68784657
2:70108592:70109560,2,70108592,70109560
14:39154263:39155327,14,39154263,39155327
22:46942475:46943342,22,46942475,46943342
22:20919675:20920870,22,20919675,20920870
3:187011927:187013081,3,187011927,187013081
4:146243331:146243945,4,146243331,146243945
2:66444133:66444859,2,66444133,66444859
9:125259420:125260079,9,125259420,125260079
11:8363672:8364829,11,8363672,8364829
19:7004151:7004788,19,7004151,7004788
11:57903589:57904918,11,57903589,57904918
15:69913870:69915114,15,69913870,69915114
12:22409186:22410425,12,22409186,22410425
15:90889292:90889928,15,90889292,90889928
8:2733559:2734830,8,2733559,2734830
19:3548416:3549220,19,3548416,3549220
4:24973741:24974731,4,24973741,24974731
5:149240349:149241128,5,149240349,149241128
6:30329228:30329850,6,30329228,30329850
1:31208098:31209919,1,31208098,31209919
22:46068828:46070025,22,46068828,46070025
14:92576809:92577977,14,92576809,92577977
2:173997081:173998715,2,173997081,173998715
1:182840812:182841662,1,182840812,182841662
1:43982635:43983409,1,43982635,43983409
7:100813935:100814633,7,100813935,100814633
20:19974746:19975528,20,19974746,19975528
19:55059648:55060636,19,55059648,55060636
1:201530911:201531890,1,201530911,201531890
22:40966248:40967674,22,40966248,40967674
18:63235270:63236838,18,63235270,63236838
7:29090778:29091986,7,29090778,29091986
14:104747852:104748652,14,104747852,104748652
16:68643122:68644018,16,68643122,68644018
2:127695415:127695910,2,127695415,127695910
8:9248869:9249699,8,9248869,9249699
2:73986204:73987214,2,73986204,73987214
15:101150417:101151546,15,101150417,101151546
16:16120006:16121195,16,16120006,16121195
10:8331162:8331907,10,8331162,8331907
2:200887646:200888160,2,200887646,200888160
6:291504:292304,6,291504,292304
11:44591371:44592504,11,44591371,44592504
7:72910740:72911954,7,72910740,72911954
12:122730074:122730714,12,122730074,122730714
1:205849727:205850521,1,205849727,205850521
11:65969006:65970017,11,65969006,65970017
7:2049830:2050493,7,2049830,2050493
2:239192511:239193100,2,239192511,239193100
21:38289053:38290820,21,38289053,38290820
11:65377955:65378783,11,65377955,65378783
19:16835798:16836713,19,16835798,16836713
14:87733297:87734285,14,87733297,87734285
16:86444821:86447389,16,86444821,86447389
22:35353380:35354152,22,35353380,35354152
19:50387360:50388037,19,50387360,50388037
20:63612259:63613062,20,63612259,63613062
22:19321981:19323253,22,19321981,19323253
17:70314093:70315282,17,70314093,70315282
9:136830913:136831306,9,136830913,136831306
12:111834776:111835294,12,111834776,111835294
10:103584962:103585172,10,103584962,103585172
5:172380307:172381137,5,172380307,172381137
16:88840359:88840999,16,88840359,88840999
19:37316748:37317077,19,37316748,37317077
2:139410891:139411469,2,139410891,139411469
18:9695631:9696693,18,9695631,9696693
17:40203369:40204193,17,40203369,40204193
19:3980606:3981165,19,3980606,3981165
10:18658233:18658782,10,18658233,18658782
1:17310350:17311091,1,17310350,17311091
10:3240245:3240890,10,3240245,3240890
10:43432035:43432947,10,43432035,43432947
2:233064265:233065393,2,233064265,233065393
5:132069798:132071904,5,132069798,132071904
3:196500378:196501012,3,196500378,196501012
10:6207890:6209289,10,6207890,6209289
7:4814265:4814810,7,4814265,4814810
14:100165341:100165647,14,100165341,100165647
20:62285677:62286023,20,62285677,62286023
7:71270985:71272978,7,71270985,71272978
22:48586259:48587455,22,48586259,48587455
18:63252499:63254644,18,63252499,63254644
12:114762411:114763040,12,114762411,114763040
17:601581:602561,17,601581,602561
6:2952469:2953070,6,2952469,2953070
1:117613318:117615153,1,117613318,117615153
2:74875020:74875889,2,74875020,74875889
2:8820811:8822708,2,8820811,8822708
7:5495076:5495426,7,5495076,5495426
9:37408959:37409696,9,37408959,37409696
3:148756340:148758548,3,148756340,148758548
6:166942574:166943587,6,166942574,166943587
3:42071819:42073253,3,42071819,42073253
3:196246432:196247387,3,196246432,196247387
17:80151936:80153138,17,80151936,80153138
14:90630292:90631397,14,90630292,90631397
4:10019169:10019545,4,10019169,10019545
2:134312436:134313817,2,134312436,134313817
19:1896582:1897393,19,1896582,1897393
3:69198647:69199752,3,69198647,69199752
1:2523673:2524768,1,2523673,2524768
7:40460115:40461675,7,40460115,40461675
1:234313958:234315279,1,234313958,234315279
1:230153579:230154779,1,230153579,230154779
22:43036041:43036669,22,43036041,43036669
20:19867907:19869409,20,19867907,19869409
8:26265841:26267364,8,26265841,26267364
9:20989832:20991083,9,20989832,20991083
5:125348099:125349039,5,125348099,125349039
17:62694446:62695249,17,62694446,62695249
14:61662187:61663784,14,61662187,61663784
1:116737134:116739029,1,116737134,116739029
12:113403722:113404990,12,113403722,113404990
3:183876905:183878293,3,183876905,183878293
3:46419226:46421308,3,46419226,46421308
7:584349:584764,7,584349,584764
7:107041509:107041900,7,107041509,107041900
18:2646042:2647016,18,2646042,2647016
3:138908346:138909484,3,138908346,138909484
8:1922108:1922701,8,1922108,1922701
13:21242577:21243734,13,21242577,21243734
8:29065276:29066195,8,29065276,29066195
20:51461321:51462156,20,51461321,51462156
2:101618819:101620079,2,101618819,101620079
17:64240346:64241861,17,64240346,64241861
22:41217410:41218310,22,41217410,41218310
12:11655199:11656763,12,11655199,11656763
7:5527336:5528350,7,5527336,5528350
4:87045149:87046825,4,87045149,87046825
13:30374579:30375960,13,30374579,30375960
7:5130953:5132037,7,5130953,5132037
20:37043155:37044634,20,37043155,37044634
14:103593255:103594084,14,103593255,103594084
9:130067889:130069029,9,130067889,130069029
3:172758782:172759739,3,172758782,172759739
4:95546989:95547827,4,95546989,95547827
8:143334036:143334371,8,143334036,143334371
7:107386666:107387913,7,107386666,107387913
19:53076957:53077593,19,53076957,53077593
12:124345531:124346253,12,124345531,124346253
17:8139887:8140474,17,8139887,8140474
6:3427497:3428225,6,3427497,3428225
8:143326204:143326574,8,143326204,143326574
1:150600628:150601260,1,150600628,150601260
10:119222030:119223339,10,119222030,119223339
12:122244065:122245512,12,122244065,122245512
21:14063801:14064121,21,14063801,14064121
22:17767172:17768198,22,17767172,17768198
16:30715255:30715830,16,30715255,30715830
19:52997273:52997861,19,52997273,52997861
10:6578006:6579212,10,6578006,6579212
13:113930991:113931585,13,113930991,113931585
20:32763624:32764936,20,32763624,32764936
2:111415925:111416798,2,111415925,111416798
1:24964281:24965111,1,24964281,24965111
15:55307792:55308796,15,55307792,55308796
21:36309873:36310696,21,36309873,36310696
9:98119940:98120847,9,98119940,98120847
1:8686674:8687708,1,8686674,8687708
12:1592781:1593096,12,1592781,1593096
13:46751992:46753703,13,46751992,46753703
22:37258699:37259307,22,37258699,37259307
14:101442375:101442966,14,101442375,101442966
20:63889876:63890967,20,63889876,63890967
11:118788371:118789200,11,118788371,118789200
4:8191298:8191917,4,8191298,8191917
21:33931234:33931590,21,33931234,33931590
10:97317897:97318431,10,97317897,97318431
18:63868866:63870308,18,63868866,63870308
13:24637685:24638255,13,24637685,24638255
4:40202095:40203711,4,40202095,40203711
2:238434676:238435544,2,238434676,238435544
14:92474977:92476751,14,92474977,92476751
21:43812105:43812809,21,43812105,43812809
8:141208697:141209537,8,141208697,141209537
12:124432066:124432618,12,124432066,124432618
8:1899589:1900051,8,1899589,1900051
6:2522160:2523620,6,2522160,2523620
15:58853688:58854741,15,58853688,58854741
11:118718231:118719488,11,118718231,118719488
16:21517978:21518549,16,21517978,21518549
16:15041098:15041954,16,15041098,15041954
16:89532467:89532858,16,89532467,89532858
3:105882257:105883127,3,105882257,105883127
5:42991200:42991616,5,42991200,42991616
8:133456730:133457409,8,133456730,133457409
1:239909664:239910283,1,239909664,239910283
17:67746801:67747703,17,67746801,67747703
17:75244106:75244861,17,75244106,75244861
2:231666825:231667284,2,231666825,231667284
7:64495002:64495408,7,64495002,64495408
2:69803863:69804811,2,69803863,69804811
9:111895239:111895915,9,111895239,111895915
5:80216131:80217585,5,80216131,80217585
9:137073130:137073731,9,137073130,137073731
20:4855340:4855905,20,4855340,4855905
19:33266893:33267619,19,33266893,33267619
22:44172763:44173534,22,44172763,44173534
8:143994605:143995604,8,143994605,143995604
3:6507670:6508519,3,6507670,6508519
1:226653026:226654172,1,226653026,226654172
5:1513437:1514129,5,1513437,1514129
2:208175112:208175736,2,208175112,208175736
7:2807421:2808393,7,2807421,2808393
19:54207163:54208235,19,54207163,54208235
9:97876790:97877566,9,97876790,97877566
1:12255486:12255883,1,12255486,12255883
22:27778285:27779065,22,27778285,27779065
6:159965427:159967124,6,159965427,159967124
9:89387835:89388916,9,89387835,89388916
7:135166531:135167553,7,135166531,135167553
7:155593115:155594333,7,155593115,155594333
6:16320378:16321100,6,16320378,16321100
12:100319580:100320502,12,100319580,100320502
7:2567444:2568104,7,2567444,2568104
4:184100094:184101076,4,184100094,184101076
1:121117381:121118217,1,121117381,121118217
10:29630632:29631033,10,29630632,29631033
19:55316225:55316906,19,55316225,55316906
15:69462229:69462514,15,69462229,69462514
17:73902827:73903447,17,73902827,73903447
7:74660250:74660566,7,74660250,74660566
2:420033:420322,2,420033,420322
19:5131804:5132252,19,5131804,5132252
1:17097962:17099165,1,17097962,17099165
11:71566912:71568172,11,71566912,71568172
8:100791348:100792747,8,100791348,100792747
17:42483997:42484918,17,42483997,42484918
10:92115006:92115733,10,92115006,92115733
16:30605177:30605730,16,30605177,30605730
10:102432988:102433493,10,102432988,102433493
8:140035329:140036081,8,140035329,140036081
4:188218192:188218741,4,188218192,188218741
1:24911015:24911959,1,24911015,24911959
4:184402139:184402916,4,184402139,184402916
16:8849341:8850543,16,8849341,8850543
16:19068480:19068728,16,19068480,19068728
7:100745126:100745487,7,100745126,100745487
1:25146496:25147334,1,25146496,25147334
16:89118220:89119007,16,89118220,89119007
6:149567372:149567895,6,149567372,149567895
1:152037853:152039115,1,152037853,152039115
13:45356894:45357912,13,45356894,45357912
19:6489360:6490152,19,6489360,6490152
17:39813080:39814529,17,39813080,39814529
17:1624924:1625596,17,1624924,1625596
22:16603588:16604289,22,16603588,16604289
17:44569215:44569668,17,44569215,44569668
8:47272037:47272761,8,47272037,47272761
6:110414920:110416432,6,110414920,110416432
9:131289637:131290052,9,131289637,131290052
6:158208650:158209260,6,158208650,158209260
20:32227592:32228792,20,32227592,32228792
1:19081143:19082108,1,19081143,19082108
20:37014800:37015913,20,37014800,37015913
2:218381612:218382574,2,218381612,218382574
9:134909447:134910577,9,134909447,134910577
16:88552747:88553400,16,88552747,88553400
12:51024239:51025005,12,51024239,51025005
14:103930031:103931178,14,103930031,103931178
10:71638334:71639177,10,71638334,71639177
11:9577148:9578105,11,9577148,9578105
16:81686349:81686977,16,81686349,81686977
12:120539542:120541146,12,120539542,120541146
12:123347021:123347673,12,123347021,123347673
6:93087783:93089109,6,93087783,93089109
8:141169589:141170114,8,141169589,141170114
6:151808909:151809267,6,151808909,151809267
10:14578165:14579491,10,14578165,14579491
6:13418981:13419799,6,13418981,13419799
10:14682747:14683939,10,14682747,14683939
10:124588930:124589298,10,124588930,124589298
15:90987808:90989541,15,90987808,90989541
1:21261763:21262521,1,21261763,21262521
22:35367126:35367612,22,35367126,35367612
10:127738212:127738746,10,127738212,127738746
7:6930863:6931511,7,6930863,6931511
6:34554754:34555361,6,34554754,34555361
7:35983013:35983786,7,35983013,35983786
6:42959766:42960267,6,42959766,42960267
1:27609310:27610668,1,27609310,27610668
22:46961559:46962229,22,46961559,46962229
18:77095389:77096658,18,77095389,77096658
11:69662073:69662754,11,69662073,69662754
1:234926385:234927539,1,234926385,234927539
20:61830622:61831109,20,61830622,61831109
16:30458312:30458814,16,30458312,30458814
18:21699312:21700214,18,21699312,21700214
9:130814599:130815071,9,130814599,130815071
11:1299006:1299465,11,1299006,1299465
17:1665321:1665760,17,1665321,1665760
3:4983977:4984888,3,4983977,4984888
15:89243001:89243530,15,89243001,89243530
2:126661129:126662310,2,126661129,126662310
19:2607847:2608512,19,2607847,2608512
19:4540970:4541930,19,4540970,4541930
2:85951248:85952627,2,85951248,85952627
4:184672574:184673350,4,184672574,184673350
1:25675487:25677233,1,25675487,25677233
16:89233643:89234449,16,89233643,89234449
19:570205:570467,19,570205,570467
6:16585847:16586816,6,16585847,16586816
6:105880139:105881041,6,105880139,105881041
13:114051824:114052345,13,114051824,114052345
16:23838165:23839680,16,23838165,23839680
10:79273968:79274781,10,79273968,79274781
6:9025201:9026206,6,9025201,9026206
16:84114556:84114815,16,84114556,84114815
17:43488333:43489247,17,43488333,43489247
1:160263205:160263592,1,160263205,160263592
16:2798594:2798829,16,2798594,2798829
17:74786483:74787050,17,74786483,74787050
10:69344631:69345635,10,69344631,69345635
15:101099237:101100016,15,101099237,101100016
11:69047425:69048055,11,69047425,69048055
11:62487485:62488158,11,62487485,62488158
19:6362577:6363156,19,6362577,6363156
3:12959907:12960857,3,12959907,12960857
6:43022288:43022576,6,43022288,43022576
7:155995294:155996366,7,155995294,155996366
3:128991362:128991793,3,128991362,128991793
13:22961256:22962131,13,22961256,22962131
21:44360249:44361105,21,44360249,44361105
18:79435791:79436278,18,79435791,79436278
13:98044249:98045054,13,98044249,98045054
14:100140572:100141381,14,100140572,100141381
8:38431057:38431996,8,38431057,38431996
3:32114218:32115375,3,32114218,32115375
19:17846168:17847046,19,17846168,17847046
2:241127403:241128341,2,241127403,241128341
11:35851613:35853237,11,35851613,35853237
17:2299881:2300633,17,2299881,2300633
5:10762089:10762892,5,10762089,10762892
10:133104085:133104498,10,133104085,133104498
18:23250697:23251519,18,23250697,23251519
10:12219707:12220110,10,12219707,12220110
22:37758487:37759149,22,37758487,37759149
20:57403087:57403746,20,57403087,57403746
7:23206453:23206899,7,23206453,23206899
12:48851084:48851404,12,48851084,48851404
3:46222378:46223294,3,46222378,46223294
7:150801306:150801820,7,150801306,150801820
2:67713555:67714951,2,67713555,67714951
14:102760227:102761232,14,102760227,102761232
12:9448889:9449658,12,9448889,9449658
9:134171622:134172140,9,134171622,134172140
19:5547775:5548626,19,5547775,5548626
15:32518030:32518443,15,32518030,32518443
20:5030626:5031732,20,5030626,5031732
2:92074468:92074741,2,92074468,92074741
3:148525276:148526139,3,148525276,148526139
21:36159177:36159932,21,36159177,36159932
2:127080266:127081352,2,127080266,127081352
6:11728128:11729348,6,11728128,11729348
6:158008944:158009751,6,158008944,158009751
19:49916899:49917664,19,49916899,49917664
8:29116732:29116980,8,29116732,29116980
16:85543755:85544453,16,85543755,85544453
2:74177071:74177568,2,74177071,74177568
19:11095527:11096668,19,11095527,11096668
21:43657592:43657992,21,43657592,43657992
19:2081998:2082953,19,2081998,2082953
17:76504190:76504732,17,76504190,76504732
7:66655363:66655688,7,66655363,66655688
9:98831496:98832146,9,98831496,98832146
14:91245533:91246433,14,91245533,91246433
1:160795559:160797707,1,160795559,160797707
11:2511525:2512142,11,2511525,2512142
17:4649144:4650219,17,4649144,4650219
3:197957008:197958260,3,197957008,197958260
3:14216388:14217119,3,14216388,14217119
22:41667188:41667615,22,41667188,41667615
12:64699257:64700330,12,64699257,64700330
6:27140211:27141489,6,27140211,27141489
12:130686567:130686955,12,130686567,130686955
17:83062279:83062950,17,83062279,83062950
10:132296298:132296857,10,132296298,132296857
19:43765155:43766098,19,43765155,43766098
19:58562058:58562317,19,58562058,58562317
20:63029435:63029803,20,63029435,63029803
7:2606978:2607488,7,2606978,2607488
3:187935635:187936325,3,187935635,187936325
6:30680243:30681592,6,30680243,30681592
1:203351062:203351604,1,203351062,203351604
9:129343901:129344959,9,129343901,129344959
21:45041081:45041821,21,45041081,45041821
22:36158120:36159245,22,36158120,36159245
10:6143733:6144118,10,6143733,6144118
21:43726944:43727496,21,43726944,43727496
16:86604896:86605510,16,86604896,86605510
2:110858092:110859288,2,110858092,110859288
17:2803246:2803950,17,2803246,2803950
19:48497251:48498071,19,48497251,48498071
11:68762597:68763086,11,68762597,68763086
16:87747892:87748601,16,87747892,87748601
18:12710394:12711048,18,12710394,12711048
22:21810391:21811098,22,21810391,21811098
15:92914835:92915744,15,92914835,92915744
11:33698883:33699955,11,33698883,33699955
9:134794123:134794598,9,134794123,134794598
8:21896744:21897671,8,21896744,21897671
17:81326899:81327738,17,81326899,81327738
6:14922048:14922744,6,14922048,14922744
6:130260202:130261619,6,130260202,130261619
17:41863005:41863994,17,41863005,41863994
18:12376101:12376444,18,12376101,12376444
10:68201878:68203129,10,68201878,68203129
1:180278615:180279593,1,180278615,180279593
6:110917479:110918586,6,110917479,110918586
10:11813640:11814599,10,11813640,11814599
19:34173839:34174547,19,34173839,34174547
6:149115530:149116833,6,149115530,149116833
1:17430614:17431148,1,17430614,17431148
4:57195658:57195948,4,57195658,57195948
5:178467268:178468026,5,178467268,178468026
1:25771129:25771760,1,25771129,25771760
1:151057190:151057927,1,151057190,151057927
6:27864160:27864505,6,27864160,27864505
6:15508254:15509088,6,15508254,15509088
1:202132879:202133375,1,202132879,202133375
4:87120576:87121831,4,87120576,87121831
3:15219261:15220517,3,15219261,15220517
12:55977960:55978795,12,55977960,55978795
1:15176956:15178040,1,15176956,15178040
13:27252866:27253971,13,27252866,27253971
17:58334381:58335500,17,58334381,58335500
15:66502695:66503593,15,66502695,66503593
4:16062015:16062347,4,16062015,16062347
19:47186437:47187308,19,47186437,47187308
17:81031247:81031865,17,81031247,81031865
10:11450232:11451191,10,11450232,11451191
22:25075262:25076393,22,25075262,25076393
16:8896301:8897309,16,8896301,8897309
9:133709303:133709883,9,133709303,133709883
21:44087521:44088039,21,44087521,44088039
3:37987832:37988660,3,37987832,37988660
1:37471584:37472662,1,37471584,37472662
10:104267608:104268492,10,104267608,104268492
1:145872496:145872862,1,145872496,145872862
9:5500276:5501176,9,5500276,5501176
16:89641023:89641434,16,89641023,89641434
1:65163157:65163740,1,65163157,65163740
17:393884:394884,17,393884,394884
16:30964637:30964874,16,30964637,30964874
1:173885521:173886548,1,173885521,173886548
1:10635407:10635824,1,10635407,10635824
6:2794692:2796186,6,2794692,2796186
1:27522360:27522836,1,27522360,27522836
6:149031483:149032853,6,149031483,149032853
14:73723677:73724520,14,73723677,73724520
20:3838057:3838774,20,3838057,3838774
12:124852389:124853487,12,124852389,124853487
6:150937129:150937657,6,150937129,150937657
1:32636960:32637877,1,32636960,32637877
11:62392691:62393753,11,62392691,62393753
6:158569511:158570357,6,158569511,158570357
2:69576760:69578222,2,69576760,69578222
16:17334949:17335675,16,17334949,17335675
18:74994579:74995778,18,74994579,74995778
20:63665880:63666433,20,63665880,63666433
6:161186037:161186770,6,161186037,161186770
10:17556723:17558303,10,17556723,17558303
18:13313253:13314040,18,13313253,13314040
22:41862284:41863372,22,41862284,41863372
2:171513133:171514091,2,171513133,171514091
12:111429317:111429916,12,111429317,111429916
11:34344844:34346246,11,34344844,34346246
19:10101535:10102374,19,10101535,10102374
12:130186620:130187332,12,130186620,130187332
7:150519784:150521082,7,150519784,150521082
10:820825:821873,10,820825,821873
17:81266054:81266394,17,81266054,81266394
9:134409407:134410300,9,134409407,134410300
6:1724690:1725594,6,1724690,1725594
10:8114347:8115475,10,8114347,8115475
22:20551201:20552269,22,20551201,20552269
14:92540028:92541122,14,92540028,92541122
14:70881611:70883296,14,70881611,70883296
8:2145149:2146104,8,2145149,2146104
5:147451646:147452643,5,147451646,147452643
2:69641054:69642594,2,69641054,69642594
14:103704852:103705510,14,103704852,103705510
7:602595:602963,7,602595,602963
6:14857049:14857683,6,14857049,14857683
20:20859085:20860476,20,20859085,20860476
6:166598164:166599406,6,166598164,166599406
18:12777118:12777553,18,12777118,12777553
12:132494711:132495332,12,132494711,132495332
19:1917162:1917767,19,1917162,1917767
1:17585550:17586842,1,17585550,17586842
19:12913010:12913506,19,12913010,12913506
16:69833871:69835015,16,69833871,69835015
21:42392927:42393759,21,42392927,42393759
19:39337767:39338523,19,39337767,39338523
